Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	*SubTypeNOTE	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	438	16	378	18	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial1	75	Blessed Aim	1	10	0	18	0	Fire - Hell	Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	438	16	378	18	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial2	75	Meditation	1	10	0	18	12	Ice - Hell	Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							5	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12	1	3	1	0	8	0	8	0	8	0	8	strhirespecial1	75	Blessed Aim	1	10	0	3	7	Fire - Normal	Fire Arrow	4	60	0	1	10	Exploding Arrow	4	25	0	1	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	100	100	342	18	279	15	77	10	111	16	406	24	6	8	3	66	7	66	7	66	7	66	7	strhirespecial1	75	Blessed Aim	1	10	0	11	7	Fire - Normal	Fire Arrow	4	60	0	12	10	Exploding Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	100	100	900	30	744	22	116	10	173	16	1150	36	18	20	4	121	5	121	5	121	5	121	5	strhirespecial1	75	Blessed Aim	1	10	0	18	0	Fire - Normal	Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	100	45	9	15	8	35	10	45	16	10	12	1	3	1	0	8	0	8	0	8	0	8	strhirespecial2	75	Meditation	1	10	0	3	8	Ice - Normal	Cold Arrow	4	60	0	1	10	Freezing Arrow	4	25	0	1	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	100	342	18	279	15	77	10	111	16	406	24	6	8	3	66	7	66	7	66	7	66	7	strhirespecial2	75	Meditation	1	10	0	12	8	Ice - Normal	Cold Arrow	4	60	0	12	10	Freezing Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	150	100	900	30	744	22	116	10	173	16	1150	36	18	20	4	121	5	121	5	121	5	121	5	strhirespecial2	75	Meditation	1	10	0	18	12	Ice - Normal	Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	6	8	3	66	7	66	7	66	7	66	7	strhirespecial1	75	Blessed Aim	1	10	0	11	7	Fire - Nightmare	Fire Arrow	4	60	0	12	10	Exploding Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	6000	110	900	30	744	22	116	10	173	16	1150	36	18	20	4	121	5	121	5	121	5	121	5	strhirespecial1	75	Blessed Aim	1	10	0	18	0	Fire - Nightmare	Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	110	342	18	279	15	77	10	111	16	406	24	6	8	3	66	7	66	7	66	7	66	7	strhirespecial2	75	Meditation	1	10	0	12	8	Ice - Nightmare	Cold Arrow	4	60	0	12	10	Freezing Arrow	4	25	0	12	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	7500	110	900	30	744	22	116	10	173	16	1150	36	18	20	4	121	5	121	5	121	5	121	5	strhirespecial2	75	Meditation	1	10	0	18	12	Ice - Nightmare	Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	900	30	744	22	116	10	173	16	1150	36	18	20	4	121	5	121	5	121	5	121	5	strhirespecial1	75	Blessed Aim	1	10	0	18	0	Fire - Hell	Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	120	900	30	744	22	116	10	173	16	1150	36	18	20	4	121	5	121	5	121	5	121	5	strhirespecial2	75	Meditation	1	10	0	18	12	Ice - Hell	Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10	Dodge	1	0	0	5	0	Evade	1	0	0	5	0							1	15	2	50000	ama
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	6	13	4	18	8	18	8	18	8	18	8	skillname99	30	Blessed Aim	1	10	0	3	7	Comb-Normal	Jab	14	70	0	3	10	Penetrate	1	0	0	3	13																			5	15	2	50000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	16	23	6	62	7	62	7	62	7	62	7	skillname99	30	Blessed Aim	1	10	0	11	7	Comb-Normal	Jab	14	92	0	10	10	Penetrate	1	0	0	12	13																			5	15	2	50000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname99	30	Blessed Aim	1	10	0	18	0	Comb-Normal	Jab	14	116	0	18	10	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname104	30	Prayer	1	10	0	3	7	Def-Normal	Jab	14	70	0	3	10	Penetrate	1	0	0	3	13																			5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname104	30	Prayer	1	10	0	11	7	Def-Normal	Jab	14	92	0	10	10	Penetrate	1	0	0	12	13																			5	15	2	50000	
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname104	30	Prayer	1	10	0	18	0	Def-Normal	Jab	14	116	0	18	0	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname108	30	Might	1	10	0	3	7	Off-Normal	Jab	14	70	0	3	10	Penetrate	1	0	0	3	13																			5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname108	30	Might	1	10	0	11	7	Off-Normal	Jab	14	92	0	10	10	Penetrate	1	0	0	12	13																			5	15	2	50000	
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname108	30	Might	1	10	0	18	0	Off-Normal	Jab	14	116	0	18	0	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname103	30	Blessed Aim	1	10	0	11	7	Comb-Nightmare	Jab	14	120	0	9	10	Penetrate	1	0	0	12	13																			5	15	2	50000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname103	30	Blessed Aim	1	10	0	18	0	Comb-Nightmare	Jab	14	144	0	17	10	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname114	30	Prayer	1	10	0	11	7	Def-Nightmare	Jab	14	120	0	9	10	Penetrate	1	0	0	12	13																			5	15	2	50000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname114	30	Prayer	1	10	0	18	0	Def-Nightmare	Jab	14	144	0	17	0	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname98	30	Might	1	10	0	11	7	Off-Nightmare	Jab	14	120	0	9	10	Penetrate	1	0	0	12	13																			5	15	2	50000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname98	30	Might	1	10	0	18	0	Off-Nightmare	Jab	14	144	0	17	0	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname99	30	Blessed Aim	1	10	0	18	0	Comb-Hell	Jab	14	104	0	16	10	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname104	30	Prayer	1	10	0	18	0	Def-Hell	Jab	14	104	0	16	0	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname108	30	Might	1	10	0	18	0	Off-Hell	Jab	14	104	0	16	0	Penetrate	1	0	0	18	13																			5	15	2	50000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	2	6	3	18	8	18	8	18	8	18	8	skillname99	30	Blessed Aim	1	10	0	3	7	Prayer-Normal	Jab	14	80	0	3	10	Penetrate	1	0	0	3	13																			1	15	2	50000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	12	19	5	86	7	86	7	86	7	86	7	skillname99	30	Blessed Aim	1	10	0	11	7	Prayer-Normal	Jab	14	80	0	14	10	Penetrate	1	0	0	12	13																			1	15	2	50000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	142	4	142	4	142	4	142	4	skillname99	30	Blessed Aim	1	10	0	18	0	Prayer-Normal	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	2	6	3	18	8	18	8	18	8	18	8	skillname104	30	Prayer	1	10	0	3	7	Defiance-Normal	Jab	14	80	0	3	10	Penetrate	1	0	0	3	13																			1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	12	19	5	86	7	86	7	86	7	86	7	skillname104	30	Prayer	1	10	0	11	7	Defiance-Normal	Jab	14	80	0	14	10	Penetrate	1	0	0	12	13																			1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	142	4	142	4	142	4	142	4	skillname104	30	Prayer	1	10	0	18	0	Defiance-Normal	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	2	6	3	18	8	18	8	18	8	18	8	skillname108	30	Might	1	10	0	3	7	BlessedAim-Normal	Jab	14	80	0	3	10	Penetrate	1	0	0	3	13																			1	15	2	50000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	12	19	5	86	7	86	7	86	7	86	7	skillname108	30	Might	1	10	0	11	7	BlessedAim-Normal	Jab	14	80	0	14	10	Penetrate	1	0	0	12	13																			1	15	2	50000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	142	4	142	4	142	4	142	4	skillname108	30	Might	1	10	0	18	0	BlessedAim-Normal	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	Prayer-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	12	19	5	86	7	86	7	86	7	86	7	skillname99	30	Blessed Aim	1	10	0	11	7	Prayer-Nightmare	Jab	14	80	0	14	10	Penetrate	1	0	0	12	13																			1	15	2	50000	
Desert Mercenary	Prayer-Nightmare	100	9	338	2	2	75	198	merca201	merca221	7900	120	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	142	4	142	4	142	4	142	4	skillname99	30	Blessed Aim	1	10	0	18	0	Prayer-Nightmare	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	Defiance-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	12	19	5	86	7	86	7	86	7	86	7	skillname104	30	Prayer	1	10	0	11	7	Defiance-Nightmare	Jab	14	80	0	14	10	Penetrate	1	0	0	12	13																			1	15	2	50000	
Desert Mercenary	Defiance-Nightmare	100	10	338	2	2	75	198	merca201	merca221	7900	120	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	142	4	142	4	142	4	142	4	skillname104	30	Prayer	1	10	0	18	0	Defiance-Nightmare	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	BlessedAim-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	12	19	5	86	7	86	7	86	7	86	7	skillname108	30	Might	1	10	0	11	7	BlessedAim-Nightmare	Jab	14	80	0	14	10	Penetrate	1	0	0	12	13																			1	15	2	50000	
Desert Mercenary	BlessedAim-Nightmare	100	11	338	2	2	75	198	merca201	merca221	7900	120	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	142	4	142	4	142	4	142	4	skillname108	30	Might	1	10	0	18	0	BlessedAim-Nightmare	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	Thorns-Nightmare	100	12	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	86	7	86	7	86	7	86	7	skillname103	30	Blessed Aim	1	10	0	18	0	Thorns-Nightmare	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	Thorns-Nightmare	100	13	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	142	4	142	4	142	4	142	4	skillname103	30	Prayer	1	10	0	18	0	Thorns-Nightmare	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	HolyFreeze-Nightmare	100	14	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	33	40	5	86	7	86	7	86	7	86	7	skillname114	30	Might	1	10	0	18	0	HolyFreeze-Nightmare	Jab	14	80	0	24	0	Penetrate	1	0	0	18	13																			1	15	2	50000	
Desert Mercenary	HolyFreeze-Nightmare	0	15	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10	1	7	4	142	4	142	4	142	4	142	4	skillname114	30	Cleansing	1	10	0	4	13	HolyFreeze-Nightmare	Fire Ball	7	70	0	3	7	Fire Mastery	1	0	0	3	13	Meteor	7	30	0	3	7													1	15	2	50000	
Desert Mercenary	Might-Nightmare	0	15	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	12	18	4	86	7	86	7	86	7	86	7	skillname98	30	Cleansing	1	10	0	17	16	Might-Nightmare	Fire Ball	7	70	0	11	10	Fire Mastery	1	0	0	12	13	Meteor	7	30	0	10	9													1	15	2	50000	
Desert Mercenary	Might-Nightmare	0	15	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	18	107	10	86	8	715	30	24	30	4	142	4	142	4	142	4	142	4	skillname98	30	Cleansing	1	10	0	30	0	Might-Nightmare	Fire Ball	7	70	0	20	14	Fire Mastery	1	0	0	18	13	Meteor	7	30	0	19	10													1	15	2	50000	
Desert Mercenary	Comb-Hell	0	16	359	3	1	15	252	merca222	merca241	1500	120	160	8	80	4	49	10	40	8	15	10	1	7	4	142	4	142	4	142	4	142	4	skillname99	30	Meditation	1	10	0	6	8	Comb-Hell	Glacial Spike	7	70	0	3	6	Cold Mastery	1	0	0	3	13	Blizzard	7	30	0	3	5													1	15	2	50000	
Desert Mercenary	Def-Hell	0	16	359	3	1	37	252	merca222	merca241	1500	120	336	14	168	10	77	10	62	8	235	20	12	18	4	142	4	142	4	142	4	142	4	skillname104	30	Meditation	1	10	0	15	8	Def-Hell	Glacial Spike	7	70	0	10	8	Cold Mastery	1	0	0	12	13	Blizzard	7	30	0	9	6													1	15	2	50000	
Desert Mercenary	Off-Hell	0	16	359	3	1	61	252	merca222	merca241	1500	120	672	20	408	16	107	10	86	8	715	30	24	30	4	142	4	142	4	142	4	142	4	skillname108	30	Meditation	1	10	0	21	8	Off-Hell	Glacial Spike	7	70	0	18	11	Cold Mastery	1	0	0	18	13	Blizzard	7	30	0	15	8													1	15	2	50000	
Desert Mercenary	Thorns-Hell	0	17	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10	1	7	4	142	4	142	4	142	4	142	4	skillname103	30	Prayer	1	10	0	3	8	Thorns-Hell	Chain Lightning	7	75	0	3	8	Lightning Mastery	1	0	0	3	13	Charged Bolt	7	25	0	5	7													1	15	2	50000	
Desert Mercenary	HolyFreeze-Hell	0	17	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	12	18	4	142	4	142	4	142	4	142	4	skillname114	30	Prayer	1	10	0	12	8	HolyFreeze-Hell	Chain Lightning	7	75	0	12	10	Lightning Mastery	1	0	0	12	13	Charged Bolt	7	25	0	12	7													1	15	2	50000	
Desert Mercenary	Might-Hell	0	17	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	16	107	10	86	8	715	30	24	30	4	142	4	142	4	142	4	142	4	skillname98	30	Prayer	1	10	0	18	12	Might-Hell	Chain Lightning	7	75	0	22	14	Lightning Mastery	1	0	0	18	13	Charged Bolt	7	25	0	18	7													1	15	2	50000	
Eastern Sorceror	Fire-Normal	0	18	359	3	2	37	252	merca222	merca241	9500	120	302	14	151	10	73	10	58	8	212	20	10	16	4	25	7	25	7	25	7	25	7	strhirespecial7	10	Cleansing	1	10	0	17	16	Fire-Normal	Fire Ball	7	70	0	11	10	Fire Mastery	1	0	0	12	13	Meteor	7	30	0	10	9													5	15	2	50000	
Eastern Sorceror	Fire-Normal	0	18	359	3	2	61	252	merca222	merca241	9500	120	638	20	391	16	103	10	82	8	692	30	22	28	4	64	7	64	7	64	7	64	7	strhirespecial7	10	Cleansing	1	10	0	30	0	Fire-Normal	Fire Ball	7	70	0	20	14	Fire Mastery	1	0	0	18	13	Meteor	7	30	0	19	10													5	15	2	50000	
Eastern Sorceror	Fire-Normal	0	19	359	3	2	37	252	merca222	merca241	12000	130	302	14	151	10	73	10	58	8	212	20	10	16	4	106	6	106	6	106	6	106	6	strhirespecial7	10	Meditation	1	10	0	15	8	Fire-Normal	Glacial Spike	7	70	0	10	8	Cold Mastery	1	0	0	12	13	Blizzard	7	30	0	9	6													5	15	2	50000	
Eastern Sorceror	Cold-Normal	0	19	359	3	2	61	252	merca222	merca241	12000	130	638	20	391	16	103	10	82	8	692	30	22	28	4	25	7	25	7	25	7	25	7	strhirespecial6	10	Meditation	1	10	0	21	8	Cold-Normal	Glacial Spike	7	75	0	18	11	Cold Mastery	1	0	0	18	13	Blizzard	7	30	0	15	8													5	15	2	50000	
